defect_id	test_id	reason
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_case.py::test_benchmark_case_round_trips_with_reviewer_output_and_score	The test only checks round-tripping of a case object, not rendered report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_coverage.py::test_cli_and_benchmark_share_one_pipeline	The test only compares review state, not rendered report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_coverage.py::test_neither_the_pipeline_nor_the_cli_writes_into_the_reviewed_repo	The test only snapshots the repo contents, not report bytes or review state.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_fixtures.py::test_head_content_wins_when_the_replacement_has_matching_metadata	The test only asserts committed file contents, not report bytes or review-state stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_scoring.py::test_empty_review_yields_an_all_miss_score	This test only checks scoring fields, not report bytes or rendered pair blocks.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/benchmark/test_scoring.py::test_metrics_are_none_when_their_ground_truth_is_empty	This test only checks scoring metrics, not report bytes or review-state persistence.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_enumeration.py::test_the_enumerated_sets_survive_a_round_trip_through_persisted_state	The test only round-trips persisted review state and never renders the report.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_enumeration.py::test_the_report_says_when_a_set_was_reused_rather_than_produced_again	The test only checks for one reuse phrase and its absence, not byte-identical report output across runs.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_enumeration.py::test_the_review_reports_the_recorded_ways_of_failing	The test only checks that defect ids and types appear in the rendered report.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_enumeration.py::test_two_runs_over_the_same_input_agree_byte_for_byte	The test only compares two runs, so a deterministic extra block would not break it.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_continued_run_carries_verdicts_through_the_ledger	The test never asserts on report bytes or rendered report output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_pair_the_judge_never_answers_is_recorded_not_read_as_surviving	This test only checks unjudged handling and verdict absence, not report bytes or run-to-run stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_prefiltered_pair_is_named_in_the_report	The test only checks specific rendered strings, not byte-for-byte stability across runs.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_reasoned_empty_enumeration_is_not_strongly_supported	The test only checks derive_support on an empty input and never renders a report or review state.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_verdict_is_produced_again_when_its_defect_changed	The test only checks a new verdict is produced and not carried from prior state.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_verdict_is_produced_again_when_the_tests_source_changed	The test only checks re-judging and digest changes, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_a_verdict_is_reused_when_its_defect_and_its_test_are_both_unchanged	This test only checks verdict reuse and carry metadata, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_adding_one_test_judges_only_that_tests_pairs	The test only checks requested pairs, verdict count, and carried count, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_defect_text_ignores_the_defect_id	The test only compares two defect_text values and never renders a report.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_every_offered_pair_comes_back_with_a_verdict	The test only checks verdict count and exact verdict tuples, not report bytes or run-to-run stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_judging_pairs_changes_no_verdict_rating_or_recommendation	The test strips pair verdicts and unjudged pairs before comparing, so report-only differences are not asserted.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_no_request_carries_more_judgements_than_the_limit	The test only checks request counts and batch sizes, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_support_is_derived_with_its_denominator	The test only checks derived support values, not report bytes or run-to-run stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_the_digest_is_per_test_not_per_file	This test only compares source digests for test objects and never renders or inspects review output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_the_pipeline_really_judges_pairs	The test only checks that pair verdicts exist and that one kills; it does not inspect report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_the_report_shows_implied_support_beside_the_current_rating	This test only checks for specific report text, not byte-for-byte stability across runs.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_the_verdicts_survive_a_round_trip_through_persisted_state	The test only checks persisted review JSON round-trips, not report rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_pair_mapping.py::test_which_pairs_share_a_request_does_not_change_what_carries	The test only checks carry behavior and call count, not report bytes or review-state serialization.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_excludes_and_records_the_one_provable_shape	This test only checks prefilter exclusion, not report bytes or run-to-run stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_a_test_that_names_something_the_defects_file_defines	This test only checks prefilter reachability, not report bytes or review rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_a_test_that_reaches_the_defect_through_a_helper_module	This defect only affects report byte stability, not whether this reachability assertion passes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_a_test_that_takes_a_fixture	This test only checks prefilter output, not report bytes or review-state persistence.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_when_the_defect_implicates_no_file	This test only checks prefilter outputs, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_when_the_module_imports_dynamically	This test only checks prefilter exclusion and judged count, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_judges_when_the_module_imports_relatively	This test only checks prefilter results, not report bytes or review-state rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/defects/test_reachability.py::test_pairs_are_formed_in_a_fixed_order	This test only checks pair ordering from form_pairs, not report bytes or review state.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/evidence/test_mapping.py::test_archetype_1_mapping_accuracy_reports_a_real_number	The test only asserts mapping accuracy, not report bytes or rendered pair blocks.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/evidence/test_mapping.py::test_changing_the_batch_size_changes_every_request_key	The test only checks stored request keys, not report bytes or review state.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/evidence/test_rejudge.py::test_the_pipeline_carries_the_rating_and_leaves_the_criterion_out_of_the_request	The test only checks carried rating and no extra request, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/evidence/test_rejudge.py::test_the_stored_key_is_computed_from_the_stored_digests	The test only checks the stored mapped digests, not report rendering or byte-identical output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/evidence/test_rejudge.py::test_two_runs_over_the_same_inputs_compute_the_same_key	The test only compares evidence_carry_key values, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/fixtures/archetypes/08-unrequested-change-separable/head/test_report.py::test_low_stock_report_filters_by_threshold	This test only checks low_stock_report filtering, not report rendering or review state bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/prompts/test_corpus_mechanism.py::test_replay_needs_no_api_key	The test only asserts a disposition and never inspects report bytes or review-state persistence.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_carried_disposition_records_the_digest_it_came_from_not_a_run_id	The test only checks carried_from digests, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_carried_entry_quoting_text_the_requirement_lost_is_rederived	This test only checks stale_spans on a RequirementDerivation and never renders review output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_carried_merge_decision_still_merges	This test only checks merge behavior, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_changed_model_invalidates_every_carried_entry	The test only asserts a decomposition call happened, not report bytes or review-state stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_changed_prompt_invalidates_the_entries_derived_under_it	This test only checks that a second run recomputes entries, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_changed_response_schema_invalidates_the_entries_derived_under_it	The test only asserts a second decompose call, not report bytes or review-state stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_changed_seed_invalidates_every_carried_entry	The test only asserts that carried entries are decomposed, not anything about report bytes or rendered blocks.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_changed_stage_logic_version_invalidates_every_carried_entry	This test only asserts a carried entry is invalidated and does not inspect report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_fresh_run_prompt_is_unchanged_by_the_revision_block	The test only checks prompt text, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_ledger_file_is_never_rewritten	The test only checks ledger file immutability and readback, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_ledger_recording_a_different_task_produces_what_an_empty_ledger_does	The test only compares obligations and decompose call counts, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_merge_decision_is_asked_again_when_either_obligation_changed	This test only checks the schema sent to the linking client, not report bytes or review-state rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_merge_decision_is_keyed_by_content_not_by_pair_position	This test only checks merge decision keys, not report rendering or persisted review bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_merge_decision_over_two_unchanged_obligations_is_not_asked_again	The test only asserts no linking calls are made, not report bytes or review rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_new_requirement_is_derived_without_consulting_any_prior_obligation	This test only inspects the prompt and derived obligation fields, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_plan_with_no_prior_is_fresh	This test only checks carry-plan freshness and contents, not report rendering or persisted review bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_removed_requirement_is_reported_and_its_obligations_dropped	The test only inspects removed requirements and obligations, not report bytes or review rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_rerun_over_an_unchanged_task_file_issues_no_decompose_call	The test only asserts `decompose_calls == 0`, not report bytes or review-state stability.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_rerun_over_an_unchanged_task_file_returns_byte_identical_obligations	The test only compares obligation lists, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_revised_requirement_records_that_it_was_revised_and_why	This test only asserts requirement disposition fields, not report bytes or pair blocks.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_run_identifier_appears_in_no_rendered_report	The test only checks that the run id is absent from stdout and present on stderr.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_run_identifier_appears_in_no_review_state	This test only checks that a run id is absent from serialized review state, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_run_records_the_run_it_continues_as_its_parent	The test only checks run_id and parent_run_id on a ledger entry.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_a_tool_change_that_leaves_the_request_unaltered_carries_everything	The test only asserts no extra decomposition calls, not report bytes or review-state contents.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_an_edited_requirements_persisting_obligations_keep_their_identifiers	The test only inspects the prompt text, not report bytes or rendered review output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_an_unknown_continued_run_is_not_an_error	The test only checks missing ledger reads, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_carry_forward_re_asks_every_requirement_the_corpus_actually_changed	This test only inspects carry-forward planning, not report rendering or byte-identical output.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_carry_forward_reads_only_the_run_it_was_told_to_continue	The test only checks ledger carry-forward fields, not report bytes.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_carrying_forward_does_not_freeze_a_superseded_obligation_in_place	The test only inspects decomposition results, not report bytes or review-state rendering.
byte-identical-review-state-and-report-output/pair-report-block-introduces-run-variant-output	tests/requirement/test_carry_forward.py::test_editing_one_requirement_leaves_every_other_requirement_carried	The test only checks derivations and a counter, not report bytes or review-state serialization.
